Ticker,Date,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Price_D-1,XBI_Price_D1,XBI_Price_D5,XBI_Return_D1,XBI_Return_D5,row_id
CLNN,8/6/2024,4,5.88,5.07,0.47,0.2675,93.43,92.36,96.95,-0.011452424,0.037675265,1697
ANVS,8/6/2024,8.4,8.35,7.96,-0.005952381,-0.052380952,93.43,92.36,96.95,-0.011452424,0.037675265,1698
AGIO,8/7/2024,42.61,42.57,44.68,-0.000938747,0.048580146,94.44,95,96.09,0.005929691,0.01747141,1699
EYPT,8/7/2024,9.02,8.65,7.58,-0.041019956,-0.159645233,94.44,95,96.09,0.005929691,0.01747141,1700
PRFX,8/7/2024,7.7808,7.3992,7.344,-0.0490438,-0.056138186,94.44,95,96.09,0.005929691,0.01747141,1701
AMRX,8/7/2024,6.88,6.81,7.81,-0.010174419,0.135174419,94.44,95,96.09,0.005929691,0.01747141,1702
NVS,8/8/2024,6.25,6.25,6.01,0,-0.0384,92.36,95.54,97.71,0.034430489,0.057925509,1703
APLS,8/8/2024,33.59,37.66,37.62,0.121167014,0.119976183,92.36,95.54,97.71,0.034430489,0.057925509,1704
ALDX,8/8/2024,3.26,4.19,5.25,0.285276074,0.610429448,92.36,95.54,97.71,0.034430489,0.057925509,1705
CTXR,8/8/2024,22.6475,22.25,14.6575,-0.017551606,-0.352798322,92.36,95.54,97.71,0.034430489,0.057925509,1706
OGEN,8/8/2024,28.9979,32.40324,43.20432,0.117434021,0.489912028,92.36,95.54,97.71,0.034430489,0.057925509,1707
CARM,8/8/2024,0.8,0.901,1.05,0.12625,0.3125,92.36,95.54,97.71,0.034430489,0.057925509,1708
NTLA,8/8/2024,21.31,22.38,22.87,0.050211168,0.073205068,92.36,95.54,97.71,0.034430489,0.057925509,1709
ANTX,8/8/2024,2.47,2.64,1.02,0.068825911,-0.587044534,92.36,95.54,97.71,0.034430489,0.057925509,1710
RNA,8/9/2024,41.87,46.95,44.98,0.12132792,0.074277526,95,95.81,97.77,0.008526316,0.029157895,1711
SPRY,8/9/2024,9.89,10.88,13.33,0.100101112,0.347826087,95,95.81,97.77,0.008526316,0.029157895,1712
PSTV,8/9/2024,1.55,1.45,1.36,-0.064516129,-0.122580645,95,95.81,97.77,0.008526316,0.029157895,1713
HUMA,8/9/2024,8,7.91,6.48,-0.01125,-0.19,95,95.81,97.77,0.008526316,0.029157895,1714
PFE,8/12/2024,28.55,28.45,28.8,-0.003502627,0.008756567,95.54,96.95,100.85,0.014758216,0.055578815,1715
NVS,8/12/2024,6.25,6.26,6.06,0.0016,-0.0304,95.54,96.95,100.85,0.014758216,0.055578815,1716
ASND,8/12/2024,126.97,128.48,137.82,0.011892573,0.085453257,95.54,96.95,100.85,0.014758216,0.055578815,1717
TNXP,8/12/2024,47.85,51.2,44.5,0.070010449,-0.070010449,95.54,96.95,100.85,0.014758216,0.055578815,1718
OGEN,8/12/2024,42.0042,62.40624,30.60306,0.485714286,-0.271428571,95.54,96.95,100.85,0.014758216,0.055578815,1719
AMLX,8/12/2024,1.9,1.98,2.2,0.042105263,0.157894737,95.54,96.95,100.85,0.014758216,0.055578815,1720
